Genome	Color	Family
MT836398	#D3D3D3	Unclassified
MT836397	#D3D3D3	Unclassified
MT836396	#D3D3D3	Unclassified
MT836395	#D3D3D3	Unclassified
MT836394	#D3D3D3	Unclassified
MT836393	#D3D3D3	Unclassified
MT836392	#D3D3D3	Unclassified
MT836391	#D3D3D3	Unclassified
MT836390	#D3D3D3	Unclassified
MT836389	#D3D3D3	Unclassified
MT836388	#D3D3D3	Unclassified
MT836387	#D3D3D3	Unclassified
MT836386	#D3D3D3	Unclassified
MT836385	#D3D3D3	Unclassified
MT836384	#D3D3D3	Unclassified
MT836383	#D3D3D3	Unclassified
MT836382	#D3D3D3	Unclassified
MT836381	#D3D3D3	Unclassified
MT836380	#D3D3D3	Unclassified
MT836379	#D3D3D3	Unclassified
MT836378	#D3D3D3	Unclassified
MT836377	#D3D3D3	Unclassified
MT836376	#D3D3D3	Unclassified
MT836375	#D3D3D3	Unclassified
MT836374	#D3D3D3	Unclassified
MT836373	#D3D3D3	Unclassified
MT836372	#D3D3D3	Unclassified
MT836371	#D3D3D3	Unclassified
MT836370	#D3D3D3	Unclassified
MT836369	#D3D3D3	Unclassified
MT836368	#D3D3D3	Unclassified
MT836367	#D3D3D3	Unclassified
MT836366	#D3D3D3	Unclassified
MT836365	#D3D3D3	Unclassified
MT836364	#D3D3D3	Unclassified
MT836363	#D3D3D3	Unclassified
MT836362	#D3D3D3	Unclassified
MT836361	#D3D3D3	Unclassified
MT836360	#D3D3D3	Unclassified
MT836359	#D3D3D3	Unclassified
MT836358	#D3D3D3	Unclassified
MT836357	#D3D3D3	Unclassified
MT836356	#D3D3D3	Unclassified
MT836355	#D3D3D3	Unclassified
MT836354	#D3D3D3	Unclassified
MT836353	#D3D3D3	Unclassified
MT836352	#D3D3D3	Unclassified
MT836351	#D3D3D3	Unclassified
MT836350	#D3D3D3	Unclassified
MT836349	#D3D3D3	Unclassified
